retailer_product_id,category
4459251,bakery
4459262,bakery
4461785,bakery
4461810,bakery
4461821,bakery
4461923,bakery
4474845,bakery
4474878,bakery
4505337,bakery
4508710,bakery
4654020,bakery
4654122,bakery
4654133,bakery
4654155,bakery
4678029,bakery
4699357,bakery
4699368,bakery
4723134,bakery
4723270,bakery
4727962,bakery
4727995,bakery
4754433,bakery
4754568,bakery
4770531,bakery
4770633,bakery
4770699,bakery
4799340,bakery
4813667,bakery
4819379,bakery
4819380,bakery
4876281,bakery
4876292,bakery
4876394,bakery
4876420,bakery
4882003,bakery
4882025,bakery
4901345,bakery
4938243,bakery
4938276,bakery
4938312,bakery
4963047,bakery
4965712,bakery
4984310,bakery
4984648,bakery
4986213,bakery
4991100,bakery
5016391,bakery
5019651,bakery
5057311,bakery
5057683,bakery
5057708,bakery
5072836,bakery
5073806,bakery
5088122,bakery
5111440,bakery
5115134,bakery
5126797,bakery
5137320,bakery
5142534,bakery
5142556,bakery
5152786,bakery
5185479,bakery
5194822,bakery
5202080,bakery
5202104,bakery
5213790,bakery
5216619,bakery
5218046,bakery
5218068,bakery
5225212,bakery
5249684,bakery
5300282,bakery
5309221,bakery
5309276,bakery
5309378,bakery
5309425,bakery
5322140,bakery
5369358,bakery
5376659,bakery
5409088,bakery
5435645,bakery
5448589,bakery
5492310,bakery
5523582,bakery
5523618,bakery
5529206,bakery
5541530,bakery
5549145,bakery
5574787,bakery
5577016,bakery
5577038,bakery
5592075,bakery
5625006,bakery
5625017,bakery
5626122,bakery
5641137,bakery
5658209,bakery
5689698,bakery
5696751,bakery
5696762,bakery
5726091,bakery
5748389,bakery
5749687,bakery
5749698,bakery
5749712,bakery
5749723,bakery
5749734,bakery
5750391,bakery
5777296,bakery
5792926,bakery
5795130,bakery
5827361,bakery
5862588,bakery
5892498,bakery
5969435,bakery
5990034,bakery
6009530,bakery
6010561,bakery
6011393,bakery
6034275,bakery
6051649,bakery
6062270,bakery
6177374,bakery
6210163,bakery
6210174,bakery
6210924,bakery
6238038,bakery
6240721,bakery
6241655,bakery
6242840,bakery
6243162,bakery
6282561,bakery
6310871,bakery
6322859,bakery
6332499,bakery
6334938,bakery
6341456,bakery
6363528,bakery
6379437,bakery
6397009,bakery
6415064,bakery
6420585,bakery
6420621,bakery
6437690,bakery
6506589,bakery
6512617,bakery
6514135,bakery
6517654,bakery
6518362,bakery
6519730,bakery
6530572,bakery
6530700,bakery
6533978,bakery
6576427,bakery
6576438,bakery
6676716,bakery
6698537,bakery
6712445,bakery
6739419,bakery
6743245,bakery
6743278,bakery
6749536,bakery
6800021,bakery
6824245,bakery
6826590,bakery
6844898,bakery
6844901,bakery
6913695,bakery
6935723,bakery
6955662,bakery
6955673,bakery
7030826,bakery
7035874,bakery
7044140,bakery
7044161,bakery
7057200,bakery
7057276,bakery
7060248,bakery
7060317,bakery
7073884,bakery
7073895,bakery
7074016,bakery
7089851,bakery
7111860,bakery
7111917,bakery
7120758,bakery
7167649,bakery
7168801,bakery
7168823,bakery
7168845,bakery
7168878,bakery
7168903,bakery
7168969,bakery
7169000,bakery
7169010,bakery
7169189,bakery
7169190,bakery
7169429,bakery
7169860,bakery
7169928,bakery
7169994,bakery
7170723,bakery
7170869,bakery
7170949,bakery
7171330,bakery
7171409,bakery
7171453,bakery
7171464,bakery
7171500,bakery
7172172,bakery
7172274,bakery
7173561,bakery
7173608,bakery
7173619,bakery
7173641,bakery
7173674,bakery
7173889,bakery
7174622,bakery
7204428,bakery
7204439,bakery
7205624,bakery
7205635,bakery
7205646,bakery
